date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:59	55866/55866	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/index.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/index.html	(from )
10:28:59	143/143	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/robots.txt		(from )
10:28:59	121205/121205	---M-Z	200	added ('OK')	text/css	etag:%221d975-55bfa15945c7a-gzip%22	http://webdesign-finder.com/html/pharma/css/bootstrap.min.css	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/css/bootstrap.min.css	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:00	44984/44984	---M-Z	200	added ('OK')	text/css	etag:%22afb8-55bfa159805fa-gzip%22	http://webdesign-finder.com/html/pharma/css/animations.css	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/css/animations.css	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:00	71579/71579	---M-Z	200	added ('OK')	text/css	etag:%221179b-55bfa1594aa9a-gzip%22	http://webdesign-finder.com/html/pharma/css/fonts.css	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/css/fonts.css	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:02	255344/255344	---M-Z	200	added ('OK')	text/css	etag:%223e570-55bfa1596bdda-gzip%22	http://webdesign-finder.com/html/pharma/css/main.css	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/css/main.css	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:02	22169/22169	---M-Z	200	added ('OK')	text/css	etag:%225699-55bfa1594ba3a-gzip%22	http://webdesign-finder.com/html/pharma/css/shop.css	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/css/shop.css	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:02	15418/15418	---M-Z	200	added ('OK')	application/javascript	etag:%223c3a-55bfa167a28a8-gzip%22	http://webdesign-finder.com/html/pharma/js/vendor/modernizr-2.6.2.min.js	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/js/vendor/modernizr-2.6.2.min.js	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:02	8781/8781	---M--	200	added ('OK')	image/png	etag:%22224d-55bfa15ad04fc%22	http://webdesign-finder.com/html/pharma/images/logo.png	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/images/logo.png	(from http://webdesign-finder.com/html/pharma/index.html)
10:29:04	53476/53476	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Oct%202017%2013:02:24%20GMT	http://webdesign-finder.com/html/pharma/index-static.html	D:/document/project%20document/theam%203/theam%203/webdesign-finder.com/html/pharma/index-static.html	(from http://webdesign-finder.com/html/pharma/index.html)
